staffel_id,verband,gebiet,ligastufe,spielklasse,staffel,mannschaften,spiele_gesamt,tore_gesamt,punkte_gesamt,tabellenfuehrer,tabellenfuehrer_punkte,quelle
0318JSU6OS000006VS5489BTVSK8S3O6-G,Hamburg,Bezirksebene Hamburg,7,Bezirksliga,BZL 03 · Bezirksebene Hamburg,16,26,118,73,Union Tornesch 2.Hr.,9,fussball.de
0318JSU6U8000006VS5489BTVSK8S3O6-G,Hamburg,Bezirksebene Hamburg,7,Bezirksliga,BZL 04 · Bezirksebene Hamburg,16,27,99,74,Harburger TB 1.Hr.,10,fussball.de
03196IO82S00000IVS5489BUVV628VP4-G,Hessen,Region Darmstadt,7,Gruppenliga,GL Darmstadt · Region Darmstadt,16,45,190,125,TSV Auerbach,15,fussball.de
0318IGJNQ000000IVS5489BUVV628VP4-G,Hessen,Region Frankfurt,7,Gruppenliga,GL Frankfurt Gr.Ost · Region Frankfurt,18,55,213,158,Germania 08 Dörnigheim,16,fussball.de
0318IGJO4S00000EVS5489BUVV628VP4-G,Hessen,Region Frankfurt,7,Gruppenliga,GL Frankfurt Gr.West · Region Frankfurt,17,48,217,139,SKV Beienheim,15,fussball.de
0318IH34PO000007VS5489BTVSK8S3O6-G,Hessen,Region Fulda,7,Gruppenliga,GL Fulda · Region Fulda,16,56,209,161,SG Sickels,18,fussball.de
0318IL73VG00000BVS5489BUVV628VP4-G,Hessen,Region Gießen / Marburg,7,Gruppenliga,GL Gießen/Marburg · Region Gießen / Marburg,16,40,155,112,FSG Grünberg/Lehnheim/Stangenrod,16,fussball.de
0318I9358400000HVS5489BUVV628VP4-G,Hessen,Region Kassel,7,Gruppenliga,GL Kassel Gr.1 · Region Kassel,16,46,210,130,FSG Gudensberg,15,fussball.de
0318I935H400000EVS5489BUVV628VP4-G,Hessen,Region Kassel,7,Gruppenliga,GL Kassel Gr.2 · Region Kassel,16,48,222,138,TSG Sandershausen,18,fussball.de
0318K728B4000006VS5489BUVV628VP4-G,Hessen,Region Wiesbaden,7,Gruppenliga,GL Wiesbaden · Region Wiesbaden,18,55,242,154,FC TÜRK Kelsterbach,18,fussball.de
03162FD6S8000007VS5489BTVU7GTVLE-G,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,7,Landesliga,Landesliga Ost Herren · Mecklenburg-Vorpommern,14,7,29,19,SpVgg Torgelow-Ueckermünde,3,fussball.de
03162FD72G000007VS5489BTVU7GTVLE-G,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,7,Landesliga,Landesliga West Herren · Mecklenburg-Vorpommern,14,7,48,21,Güstrower SC 09,3,fussball.de
031CO3N6CG00000IVS5489BUVUR5FS5A-G,Mittelrhein,Bezirk Mittelrhein,7,Bezirksliga,"Bezirksliga, Staffel 1 · Bezirk Mittelrhein",16,8,35,23,TV Hoffnungsthal,3,fussball.de
031CO3N6LC00000IVS5489BUVUR5FS5A-G,Mittelrhein,Bezirk Mittelrhein,7,Bezirksliga,"Bezirksliga, Staffel 2 · Bezirk Mittelrhein",16,8,37,23,SV Leuscheid,3,fussball.de
031CO3N6SS00000HVS5489BUVUR5FS5A-G,Mittelrhein,Bezirk Mittelrhein,7,Bezirksliga,"Bezirksliga, Staffel 3 · Bezirk Mittelrhein",16,8,31,23,Horremer SV,3,fussball.de
031CO3N73G00000HVS5489BUVUR5FS5A-G,Mittelrhein,Bezirk Mittelrhein,7,Bezirksliga,"Bezirksliga, Staffel 4 · Bezirk Mittelrhein",16,7,32,21,Germania Hilfarth,3,fussball.de
0311F9OIVK000000VS5489BUVVARDA0V-G,Niederrhein,Bezirk Niederrhein,7,Bezirksliga,Bezirksliga Gruppe 1 · Bezirk Niederrhein,18,28,129,77,SV Hösel,8,fussball.de
0311F9OJB000000DVS5489BUVVARDA0V-G,Niederrhein,Bezirk Niederrhein,7,Bezirksliga,Bezirksliga Gruppe 2 · Bezirk Niederrhein,18,27,123,77,FSV Vohwinkel,9,fussball.de
0311F9OJLC000000VS5489BUVVARDA0V-G,Niederrhein,Bezirk Niederrhein,7,Bezirksliga,Bezirksliga Gruppe 3 · Bezirk Niederrhein,18,30,138,83,Osterather SV Meerbusch,10,fussball.de
0311F9OJU4000000VS5489BUVVARDA0V-G,Niederrhein,Bezirk Niederrhein,7,Bezirksliga,Bezirksliga Gruppe 4 · Bezirk Niederrhein,18,31,135,88,SV 08/29 Friedrichsfeld,9,fussball.de
0311F9OK7C00000NVS5489BUVVARDA0V-G,Niederrhein,Bezirk Niederrhein,7,Bezirksliga,Bezirksliga Gruppe 5 · Bezirk Niederrhein,18,28,190,79,SV Fortuna Bottrop,9,fussball.de
0311F9OKHG00000GVS5489BUVVARDA0V-G,Niederrhein,Bezirk Niederrhein,7,Bezirksliga,Bezirksliga Gruppe 6 · Bezirk Niederrhein,18,28,124,80,SV Burgaltendorf,12,fussball.de
0318NLOQIS00000DVS5489BUVV628VP4-G,Niedersachsen,Bezirk Braunschweig,7,Bezirksliga,Bezirksliga Braunschweig 1,16,30,165,87,HSV Hankensbüttel,12,fussball.de
0318NLOQUS00000GVS5489BUVV628VP4-G,Niedersachsen,Bezirk Braunschweig,7,Bezirksliga,Bezirksliga Braunschweig 2,16,33,161,97,TSC Vahdet Braunschweig,10,fussball.de
0318NLOR9000000EVS5489BUVV628VP4-G,Niedersachsen,Bezirk Braunschweig,7,Bezirksliga,Bezirksliga Braunschweig 3,16,33,134,93,Goslarer SC,10,fussball.de
0318NLORJ400000BVS5489BUVV628VP4-G,Niedersachsen,Bezirk Braunschweig,7,Bezirksliga,Bezirksliga Braunschweig 4,16,37,147,104,SV Rotenberg,12,fussball.de
0316M7I65K000006VS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Hannover,7,Bezirksliga,Bezirksliga Hannover Staffel 1,16,33,125,97,STK Eilvese,12,fussball.de
0316M7KQOG000004VS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Hannover,7,Bezirksliga,Bezirksliga Hannover Staffel 2,16,31,132,91,SV Germania Grasdorf,12,fussball.de
0316M82URK000004VS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Hannover,7,Bezirksliga,Bezirksliga Hannover Staffel 3,17,40,213,117,TSV Barsinghausen,15,fussball.de
0316M8F5E8000000VS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Hannover,7,Bezirksliga,Bezirksliga Hannover Staffel 4,17,42,155,119,TSV Giesen,12,fussball.de
0312IJGSBK00000AVS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Lüneburg,7,Bezirksliga,Bezirksliga Lüneburg 1,16,32,138,94,TuS Reppenstedt,12,fussball.de
0312IJGSJ400000AVS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Lüneburg,7,Bezirksliga,Bezirksliga Lüneburg 2,16,32,149,91,VfL Westercelle,10,fussball.de
0312IJGSOS000000VS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Lüneburg,7,Bezirksliga,Bezirksliga Lüneburg 3,16,39,154,114,FC Verden 04 II U23,15,fussball.de
0312IJGSV4000009VS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Lüneburg,7,Bezirksliga,Bezirksliga Lüneburg 4,17,33,160,95,SV Ahlerstedt/Ottendorf II,15,fussball.de
03142DDU6O000007VS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Weser-Ems,7,Bezirksliga,Bezirksliga Weser-Ems 1,17,48,206,136,TuS Esens,12,fussball.de
03142DDTOG000007VS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Weser-Ems,7,Bezirksliga,Bezirksliga Weser-Ems 2,16,44,221,128,Wilhelmshavener SC Frisia,18,fussball.de
03142DDU0S000005VS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Weser-Ems,7,Bezirksliga,Bezirksliga Weser-Ems 3,16,39,156,110,SV Vorwärts Nordhorn II,13,fussball.de
03142DDUC8000008VS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Weser-Ems,7,Bezirksliga,Bezirksliga Weser-Ems 4,16,41,163,116,SV Hansa Friesoythe,15,fussball.de
03142DDUHO000007VS5489BUVSBBVPEU-G,Niedersachsen,Bezirk Weser-Ems,7,Bezirksliga,Bezirksliga Weser-Ems 5,16,40,143,111,TUS Berge,14,fussball.de
031C3OBN2400000EVS5489BTVUS470OH-G,Rheinland,Bezirk Rheinland,7,Bezirksliga,Bezirksliga Mitte Herren · Bezirk Rheinland,16,30,135,82,SG Augst Eitelborn,10,fussball.de
03142NF3H400000FVS5489BTVU7GTVLE-G,Rheinland,Bezirk Rheinland,7,Bezirksliga,Bezirksliga Ost Herren · Bezirk Rheinland,16,34,161,96,VfB Wissen,15,fussball.de
031B4VH834000009VS5489BTVSK8S3O6-G,Rheinland,Bezirk Rheinland,7,Bezirksliga,Bezirksliga West Herren · Bezirk Rheinland,16,33,133,87,FSV Salmrohr,10,fussball.de
030UT2JVB800000AVS5489BUVVARDA0V-G,Saarland,Saarland,7,Verbandsliga,Verbandsliga Nord / Ost · Saarland,16,41,185,114,SV Bliesmengen-B.,15,fussball.de
03108NFRFC000005VS5489BTVT51B5B5-G,Saarland,Saarland,7,Verbandsliga,Verbandsliga Süd / West · Saarland,16,40,215,115,SV Saar 05 Saarbrücken J.,15,fussball.de
031B608474000000VS5489BUVV628VP4-G,Sachsen,Sachsen,7,Landesklasse,Sachsenklasse Nord,16,23,113,63,"ATSV ""Frisch Auf"" Wurzen",9,fussball.de
031B6082V0000008VS5489BUVV628VP4-G,Sachsen,Sachsen,7,Landesklasse,Sachsenklasse Ost,16,21,85,59,Radebeuler BC,9,fussball.de
031B6083R0000006VS5489BUVV628VP4-G,Sachsen,Sachsen,7,Landesklasse,Sachsenklasse West,16,24,113,70,FC Stollberg,9,fussball.de
0318RGG1JC000004VS5489BTVSK8S3O6-G,Sachsen-Anhalt,Sachsen-Anhalt,7,Landesliga,LOTTO-Landesliga Nord · Sachsen-Anhalt,16,21,92,61,Burger BC 08 I,9,fussball.de
0318RGG1SO000005VS5489BTVSK8S3O6-G,Sachsen-Anhalt,Sachsen-Anhalt,7,Landesliga,LOTTO-Landesliga Süd · Sachsen-Anhalt,16,24,70,65,FSV Bennstedt,9,fussball.de
031BUN18UK000004VS5489BTVUS470OH-G,Schleswig-Holstein,Schleswig-Holstein,7,Verbandsliga,Verbandsliga Nord · Schleswig-Holstein,16,48,215,138,TSB Flensburg II,18,fussball.de
031AGKT7D0000006VS5489BTVSK8S3O6-G,Schleswig-Holstein,Schleswig-Holstein,7,Verbandsliga,Verbandsliga Ost · Schleswig-Holstein,16,49,223,138,Probsteier SG 2012,18,fussball.de
031BUP6OCO000005VS5489BTVUS470OH-G,Schleswig-Holstein,Schleswig-Holstein,7,Verbandsliga,Verbandsliga Süd · Schleswig-Holstein,16,49,235,143,SV Eichede II,16,fussball.de
031AGL8ER0000006VS5489BTVSK8S3O6-G,Schleswig-Holstein,Schleswig-Holstein,7,Verbandsliga,Verbandsliga West · Schleswig-Holstein,16,39,141,109,FC Fetih-Kisdorf,13,fussball.de
031BP5PVC000000BVS5489BTVUS470OH-G,Südbaden,Südbaden,7,Landesliga,Landesliga 1 · Südbaden,16,25,113,71,Offenburger FV,9,fussball.de
031BP987KC000004VS5489BTVUS470OH-G,Südbaden,Südbaden,7,Landesliga,Landesliga 2 · Südbaden,16,24,125,69,SV Weil 1910,9,fussball.de
031C3L4KVK000004VS5489BUVUR5FS5A-G,Südbaden,Südbaden,7,Landesliga,Landesliga 3 · Südbaden,16,25,111,71,Hegauer FV,10,fussball.de
03141ST64K00000AVS5489BUVSBBVPEU-G,Südwest,Südwest,7,Landesliga,Herren Landesliga Ost · Südwest,16,42,173,122,FC Speyer,15,fussball.de
